Codigo;Nombre;Ciclo;Tipo;Plan;Escuela
202W0707;REDES Y TRANSMISIÓN DE DATOS;7;;2018;2
202W0801;AUTOMATIZACIÓN Y CONTROL DE SOFTWARE;8;;2018;2
202W0802;INTELIGENCIA DE NEGOCIOS;8;;2018;2
202W0803;METODOLOGÍA DE LA INVESTIGACIÓN;8;;2018;2
202W0804;MINERÍA DE DATOS;8;;2018;2
202W0805;PROGRAMACIÓN CONCURRENTE Y PARALELA;8;;2018;2
202W0806;SEGURIDAD DEL SOFTWARE;8;;2018;2
202W0807;TALLER DE CONSTRUCCIÓN DE SOFTWARE WEB;8;;2018;2
202W0808;VERIFICACIÓN Y VALIDACIÓN DE SOFTWARE;8;;2018;2
202W0901;DESARROLLO DE TESIS I;9;;2018;2
202W0902;GARANTÍA DE SOFTWARE;9;;2018;2
202W0903;GERENCIA DE TECNOLOGÍA DE LA INFORMACIÓN;9;;2018;2
202W0904;GESTIÓN DE MANTENIMIENTO DEL SOFTWARE;9;;2018;2
202W0905;GESTIÓN DE RIESGO DEL SOFTWARE;9;;2018;2
202W0906;INTERNET DE LAS COSAS;9;;2018;2
202W0907;TALLER DE CONSTRUCCIÓN DE SOFTWARE MÓVIL;9;;2018;2
202W0908;SOFTWARE INTELIGENTE;9;;2018;2
202W1001;ANALÍTICA DE DATOS;10;;2018;2
202W1002;DESARROLLO DE TESIS II;10;;2018;2
202W1003;PRÁCTICA PRE PROFESIONAL;10;;2018;2
202W1004;TALLER DE APLICACIONES SOCIALES;10;;2018;2
202W1005;TENDENCIAS DE ARQUITECTURA DE SOFTWARE;10;;2018;2
202W1006;TENDENCIAS EN INGENIERÍA DE SOFTWARE Y GESTIÓN;10;;2018;2
